flow_rate_sm3_day,flow_rate_cap_sm3_day,low_permeability_flow_cap,cycle_length_days,cg_ratio,cg_type,permeability_md,porosity,pressure_mpa,temperature_c,top_depth_m,mean_depth_m,reservoir_stratum,reservoir_cluster,representative_id,source_row_index,source_field_name
752581.8820782107,1500000.0,False,156.9901450589053,1.022849024536231,CH4,306.6,0.18,29.1,86.3,2034.0,2167.5,1,8,8,59,Fulmar_021_28
170612.79730104934,1500000.0,False,306.61779673063984,0.42172223934129655,CH4,100.0,0.21,13.5,56.88215,1339.49,1457.1,0,3,3,14,Bunter Closure 4
1086808.0959476058,1500000.0,False,251.19492597530694,2.6958308158693085,CO2,100.0,0.19,7.3,35.22,720.61,1102.04,0,5,5,16,Bunter Closure 41
70539.84484737722,1500000.0,False,201.31140168740302,1.8875729445389824,CH4,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
10142.186661777603,1500000.0,False,283.79213840218677,0.6288509563453438,CH4,330.0,0.14,17.3,60.43,1589.0,2504.62,2,13,13,129,Nansen_210_25
496554.8484434202,1500000.0,False,212.31182258161041,2.936999960462123,N2,100.0,0.14,13.7,57.56,1358.94,1539.84,0,1,1,22,Bunter Closure 7
23473.800884097618,1500000.0,False,288.45148050646696,1.606548012723228,CO2,100.0,0.21,13.5,56.88215,1339.49,1457.1,0,3,3,14,Bunter Closure 4
106190.26812775443,1500000.0,False,182.3049299217658,1.0674301387860579,H2,100.0,0.21,13.5,56.88215,1339.49,1457.1,0,3,3,14,Bunter Closure 4
439858.8574491211,1500000.0,False,124.17942360781083,0.7410110868923234,N2,100.0,0.29,7.3,35.36275,724.65,1297.48,0,7,7,3,Bunter Closure 1
294278.2892725184,1500000.0,False,254.0126263241616,3.5613323315696914,H2,100.0,0.21,13.5,56.88215,1339.49,1457.1,0,3,3,14,Bunter Closure 4
22506.120326078675,1500000.0,False,358.0327610079493,3.8952070948673607,H2,100.0,0.21,13.5,56.88215,1339.49,1457.1,0,3,3,14,Bunter Closure 4
362044.6480241895,1500000.0,False,89.1823374929628,1.4881634345553072,H2,100.0,0.29,7.3,35.36275,724.65,1297.48,0,7,7,3,Bunter Closure 1
67940.45960407863,1500000.0,False,247.21880676637852,2.4828601337920353,CH4,306.6,0.18,29.1,86.3,2034.0,2167.5,1,8,8,59,Fulmar_021_28
27953.87425775562,100000.0,True,16.01154434969397,2.2757114557124187,CH4,50.0,0.15,14.1,59.11375,1403.25,1660.17,0,18,18,11,Bunter Closure 37
834500.6537045221,1500000.0,False,41.47798435482596,2.6762976050752516,CH4,100.0,0.16,8.9,41.12,889.06,1067.15,0,9,9,17,Bunter Closure 42
10901.685848183706,1500000.0,False,56.37302658359155,0.9018682934599932,H2,100.0,0.14,13.7,57.56,1358.94,1539.84,0,1,1,22,Bunter Closure 7
13488.298793727039,1500000.0,False,307.10053015363536,1.9166648850512409,CH4,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
189901.9715139939,1500000.0,False,305.7740067092992,1.7490688604013902,N2,470.0,0.22,23.88,79.71,2241.0,3300.75,3,0,0,147,Statfjord_009_24
49042.398272613085,1500000.0,False,305.06361621603173,3.4585140532363527,CH4,330.0,0.14,17.3,60.43,1589.0,2504.62,2,13,13,129,Nansen_210_25
109365.30317798356,1500000.0,False,244.29190173544583,3.8406692158436946,CH4,350.0,0.16,13.3,56.29345,1322.67,1847.3,2,19,19,24,Bunter Sandstone Formation Zone 2
56909.759225330235,1500000.0,False,241.21749043408673,3.66771652168136,H2,100.0,0.23,0.2,8.8,20.46,617.17,0,11,11,143,Spilsby Sandstone Formation 1
240049.5801034348,1500000.0,False,191.8498836869268,3.9455648653764235,CO2,100.0,0.19,7.3,35.22,720.61,1102.04,0,5,5,16,Bunter Closure 41
250659.55611458147,1500000.0,False,203.09569182425412,0.3976947550865403,CH4,350.0,0.14,10.3,45.7819,1022.34,1421.13,2,2,2,23,Bunter Sandstone Formation Zone 1
