Field Name,CO2 Endpoint RelPerm,Formation Temp [C],Latitude,Longitude,Number of Wells,Permeability [mD],Pore Pressure [MPa],Pore Volume,Porosity [-],Salinity [ppm],Swr [-],Temp Gradient
Nansen_003_14,0.237,115.78,60.566989,1.686008,97,330,54.52,3878.102865,0.14,24000,0.423,34
Nansen_210_25,0.237,60.43,61.341073,0.845038,125,330,17.3,3256.81629,0.14,24000,0.423,32.995594713656
Nansen_211_23,0.237,102.25,61.153592,1.556621,853,330,39.7,8374.52343,0.14,24000,0.423,34.998143334571
Orrin_012_26,0.237,36,58.117854,-3.067867,75,250,8.1,7725.1669875,0.15,35000,0.423,35
Skagerrak_014_19,0.237,97.28,58.51,-0.27,194,5.025,27.7,535.315508,0.13,74607.28,0.423,34.99803998432
Skagerrak_015_06,0.237,65.7,58.91,0.02,2,5.03,18.2,1541.514078,0.13,59345.66,0.423,31.949058693245
Skagerrak_016_12,0.237,115.9,58.6,1.4,39,5.03,57,3461.6679552,0.13,19225,0.423,35.38586664218
Skagerrak_016_28,0.237,125.57,58.18,1.55,32,5.03,45.6,2920.127912,0.13,80538.27,0.423,37.999353587589
Skagerrak_022_03,0.237,168.88,57.9,1.51,23,5.03,100.1,5237.5765,0.13,65019.64,0.423,35.999024392427
Skagerrak_022_08b,0.237,123.02,57.37,1.47,124,5.03,46.5,9073.9272,0.13,95474.48,0.423,39.999860894241
Skagerrak_022_15,0.237,153.48,57.67,1.91,26,5.03,73.8,5389.662824,0.13,77200.26,0.423,39.999890019549
Skagerrak_022_20,0.237,160.38,57.39,1.88,13,5.03,83.5,2005.7934,0.13,73915.6,0.423,38
Skagerrak_022_26,0.237,168.74,57.23759,1.15498,41,5.03,90.9,2181.5071278,0.13,74445.98,0.423,36.49863760218
Skagerrak_023_26b,0.237,188.6,57.101,1.952,39,5.03,101.5,1513.2398346,0.13,83507.91,0.423,36.499595796281
Skagerrak_029_04,0.237,160.8,57.031,1.656,21,5.03,106.3,1476.9183,0.13,51026.25,0.423,30.88116410671
Spilsby Sandstone Formation 1,0.237,8.8,52.978297,1.076416,196,100,0.2,172696.39857835,0.23,39366.29,0.423,39.100684261975
Statfjord_003_14,0.237,125.59,60.656001,1.785899,19,43,56.44,4188.46290552,0.12,69520.18,0.423,34.997127967643
Statfjord_009_08,0.237,84.9,59.605145,1.499934,304,470,28.04,3252.3167424,0.22,70,0.423,28.996983408748
Statfjord_009_14,0.237,142.04,59.553807,1.779841,5,470,76.89,2272.2084,0.22,63439.2,0.423,30.498293515358
Statfjord_009_24,0.237,79.71,59.472798,1.674006,23,470,23.88,1784.8875,0.22,64417.25,0.423,31.999107541276
Statfjord_211_23,0.237,103.37,61.007085,1.656106,498,470,40.02,28712.8892028,0.22,67136.59,0.423,34.998165137615
