Field Name,Latitude,Longitude,Number of Wells,Porosity [-],Formation Temp [C],Pore Pressure [MPa],Salinity [ppm],Permeability [mD],Swr [-],CO2 Endpoint RelPerm,Gross Prod Rate/Well [cm/d],Water Prod Rate/Well [cm/d],Gas Saturation [-],Gas Gravity,RGIIP,Reservoir Pressure[MPa],Reservoir Temp [C],Gas Comp. Factor,Gas Viscosity [cp],Pore Volume,Temp Gradient,Cum,ref,,,,,,,
Vampire gas field,53.469246,2.040144,3,0.15,100.153,26.5,220000,50,0.423,0.237,996563.0137,0.001,-,-,1.98E+03,26.66,83,0.9574,0.023,41.5125,35.7764578,1680.73,,,,,,,,
Valkyrie gas field,53.456959,2.105176,1,0.14,103.5935,26.9,240000,5.4,0.423,0.237,1634112.329,11.32876712,-,-,3.82E+03,26.66,83,0.9574,0.023,71.4271936,35.74791519,2294.22,,,,,,,,
Brigantine gas field,53.393234,2.653017,0,0.15,85.90335,23.5,196200,30,0.423,0.237,875960.274,0.001,-,-,"10,000.00",26.66,83,0.9574,0.023,56.248845,35,8450.77,,,,,,,,
Babbage gas field,53.94676609,1.250076577,5,0.13,104,32.8,-,1,0.423,0.237,447177.4194,2.504032258,0.57,-,"5,238.62",32.82,104.4,1.03,0.022024,49.99,,3989.1,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2019-1,,,,,,,
Carrack gas field,53.60019987,2.752112877,6,0.1,95,34.59789,250000,1,0.423,0.237,2353448.276,1.389784946,-,-,1.20E+04,34.6,95,1.05,0.022856,99.56,,8778.31,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2020-9,,,,,,,
Leman gas field,53.062638,2.196042,200,0.12,72.4743,18.5,240000,4.15,0.423,0.237,116633.6574,0.001,0.59,0.59,361000,20.83,52,0.855,0.023,8302.428668,36.16057207,336572.72,,,,,,,,
Mercury gas field,53.767896,0.643787,2,0.13,102.395,28.6,208032,59,0.423,0.237,858516.4384,0.001,0.62,0.612,"2,321.98",29.66,96,1.004743,0.0236,36.086232,35,3376.79,,,,,,,,
Neptune gas field,53.986194,0.787381,4,0.19,111.68865,27.2,208032,120,0.423,0.237,1375204.11,0.001,0.7,0.607,"8,098.62",30.23,80,0.973152,0.0236,131.14332,38.43167161,11589.76,,,,,,,,
Pickerill gas field,53.539872,1.11212,18,0.12,99.9773,25.7,208032,5,0.423,0.237,353142.6484,0.625936073,0.6,0.61,"14,158.42",27.54,96,0.95413,0.023,266.019,37.25285541,12409.66,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.2003.020.01.67,,,,,,,
North Sean gas field,53.239903,2.79265,8,0.18,98.69175,26.4,225000,265,0.423,0.237,-,-,0.735,0.618,"6,626.14",27.2,94,0.968541,-,88.4583,35.93175515,21127.04,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.2003.021.01.69,,,,,,,
South Sean gas field,53.187541,2.827992,8,0.17,91.45235,24.3,225000,305,0.423,0.237,-,-,0.776,0.614,"13,818.62",27.42,89,0.946823,-,87.6792,35.10826672,1524.53,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.2003.021.01.69,,,,,,,
East Sean gas field,53.221801,2.875965,0,0.17,96.19205,25.5,225000,90,0.423,0.237,701887.6712,0.001,0.75,0.617,"3,596.24",26.69,97,0.922182,0.023,31.4976,36.3528648,2772.99,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.2003.021.01.69,,,,,,,
V-fields,53.378,2.105641,54,0.14,93.00565,23.8,208032,5.4,0.423,0.237,83819.6347,10.056621,0.6,0.6,"46,836.06",25.18,71,0.935766,0.023,237.95968,36.94291612,3620.78,,,,,,,,
Viking gas fields,53.526552,2.253237,21,0.15,96.09825,26.2,220000,50,0.423,0.237,598220.145,0.001,0.55,0.615,"80,136.68",30.4,85,0.989081,0.023,1527.611625,36.13545939,93581.12,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.1991.014.01.64,,,,,,,
Anglia gas field,53.376415,1.591555,12,0.11,92.7057,24.4,270000,1,0.423,0.237,280775.3425,1.638812785,-,-,8155.971429,26.66,83,0.95737,0.023,272.946476,35.84637455,5709.18,,,,,,,,
Ann gas field,53.716145,2.072232,5,0.16,127.7316,37.5,208000,112.4878049,0.423,0.237,292984.2466,2.467808219,-,-,2042.944444,26.66,83,0.95737,0.023,172.3072,35.60261671,1838.65,,,,,,,,
Audrey gas field,53.550552,1.987359,11,0.16,82.34955,21.5,208000,112.4878049,0.423,0.237,890810.9589,1.249947313,-,-,25215.68889,26.66,83,0.95737,0.023,2240.249934,35.96752502,22694.12,,,,,,,,
Baird gas field,53.272899,2.528135,1,0.15,102.07905,26.5,196200,30,0.423,0.237,-,-,0.7,0.612,4001.46,26.66,83,0.95737,-,16.929,35.76021636,4001.46,,,,,,,,
Waveney gas field,53.356853,1.299396,2,0.13,87.9359,24.8,200000,12,0.423,0.237,1015010.959,1.347945206,0.55,0.68,"2,378.62",25.2,84,0.883,0.023,242.21925,33.84962947,2622.15,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.2003.020.01.74,,,,,,,
Bell gas field,53.255268,2.422808,1,0.16,101.66675,27.4,208000,112,0.423,0.237,873419.1781,0.001,-,-,3242.07,26.66,83,0.95737,0.023,85.66264,35.76363567,3242.07,,,,,,,,
Callisto gas field,53.257401,2.361244,2,0.16,97.9627,26,208000,30,0.423,0.237,695452.0548,0.001,-,-,1530.922222,26.66,83,0.95737,0.023,101.217256,35.79579185,1377.83,,,,,,,,
Europa gas field,53.224839,2.300154,4,0.16,97.5105,25.5,208000,30,0.423,0.237,395656.621,0.001,-,-,2360,26.66,83,0.95737,0.023,264.708,35.79990401,1762.06,,,,,,,,
Galahad gas field,53.539587,1.389982,1,0.14,108.3661,29.6,200000,20,0.423,0.237,1937295.89,66.66849315,-,-,4339,26.66,83,0.95737,0.023,226.64565,35.71162728,4065.28,,,,,,,,
Galleon gas field,53.491337,1.856954,22,0.11,92.5783,24.3,200000,1,0.423,0.237,328231.8982,0.001,-,-,2.67E+04,26.66,83,0.95737,0.023,1716.77752,35.84768032,22925.69,,,,,,,,
Ganymede gas field,53.32906,2.226863,8,0.16,96.2176,25.2,208000,30,0.423,0.237,780051.1416,0.001,-,-,7780.07,26.66,83,0.95737,0.023,267.672,35.81189919,7780.07,,,,,,,,
Hyde gas field,53.829514,0.991344,2,0.13,107.6199,29.3,146000,1,0.423,0.237,550746.5753,0.001,-,0.6,"4,247.53",29.75,87,0.962555,0.023,368.32224,35.71885981,4138.91,https://www.lyellcollection.org/doi/epdf/10.1144/0041465,,,,,,,
Lancelot gas field,53.406662,1.367423,4,0.14,95.3951,25.7,160000,30,0.423,0.237,594544.5205,0.425342466,-,-,9000,26.66,83,0.95737,0.023,136.11906,35.81971916,8988.64,,,,,,,,
Newsham gas field,53.724659,1.243678,1,0.12,112.55945,35.8,240000,3,0.423,0.237,348835.6164,0.001,-,-,1000,26.66,83,0.95737,0.023,250.490232,35.68253096,959.25,,,,,,,,
Ravenspurn gas field,54.065469,0.948175,48,0.13,107.22195,28.4,170000,10,0.423,0.237,301489.589,0.368767123,0.56,0.6,"19,821.79",30.95,93,1.008988,0.023,1183.0416,35.94998188,48134.7,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.1991.014.01.58,,,,,,,
Skiff gas field,53.433243,1.877184,1,0.11,92.44565,24.1,200000,1,0.423,0.237,917134.2466,0.001,-,-,10000,26.7,83,0.958807,0.023,275.7406807,35.84904419,8355.91,,,,,,,,
Thames gas field,53.093842,2.530741,3,0.19,94.51905,24.8,250000,250,0.423,0.237,1177193.836,1.138356164,0.63,0.6,6434.71,25.56,83,0.938266,0.023,154.584,36.39842238,6434.71,,,,,,,,
Little Dotty gas field (Bunter Sdst),53.044418,1.865418,1,0.21,45.9128,10.7,180000,350,0.423,0.237,-,-,0.76,-,6000,11.55,47,0.922852,-,112.65,35.56547842,5300,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2019-41,,,,,,,
Hamilton gas field,53.568347,-3.450813,4,0.15,34.0382,7.84,300000,777.5,0.423,0.237,1339338.356,0.001,-,-,"17,754.66",9.68,30,0.844059,0.023,483.075,37.14436519,18514.4,,,,,,,,
Hamilton North gas field,53.645936,-3.47204,3,0.14,36.3233,8.84,300000,307.5,0.423,0.237,615069.4064,0.001,-,-,"6,512.87",10.58,30,0.823339,0.023,225.2488,35.74369006,6000.58,,,,,,,,
North Morecambe gas field,53.964246,-3.673617,10,0.12,35.0153,10.44,270000,90,0.423,0.237,1071342.74,0.549863014,-,-,36530,12.41,33,0.806,0.023,2878.063027,30.04504204,34414.95,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.SP.1986.023.01.12,,,,,,,
South Morecambe gas field,53.872332,-3.598405,36,0.14,27.8333,7.86,300000,150,0.423,0.237,803840.5318,0.297421434,-,-,155800,12.83,32.77,0.81,0.023,6893.60514,29.57721904,150076.01,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.SP.1986.023.01.12,,,,,,,
Millom gas field,54.017144,-3.808132,12,0.09,42.7922,12.45,284000,0.525,0.423,0.237,239214.1553,0.05456621,-,-,7313.8,11.38,31.43,0.828336,0.023,723.9262428,30,7313.8,,,,,,,,
Bains gas field,53.875693,-3.463778,1,0.15,46.0496,14.34,284000,1323,0.423,0.237,1382378.082,0.001,-,-,1279.44,11.38,31.43,0.828336,0.023,172.379457,30,1279.44,,,,,,,,
Dalton gas field,53.897447,-3.728957,3,0.15,37.3334,10.05,284000,1323,0.423,0.237,644600,0.146575343,-,-,1392.97,11.38,31.43,0.828336,0.023,226.6030725,30,1392.97,,,,,,,,
Calder gas field,53.806281,-3.665614,2,0.15,27.9119,7.45,284000,1323,0.423,0.237,580636.9863,0.001,-,-,3398.02,11.38,31.425,0.82835,0.023,317.69064,30,4136.72,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.SP.1997.124.01.23,,,,,,,
Murdoch gas field,54.267967,2.311171,10,0.11,113,40.4,200000,73,0.423,0.237,471127.7397,0.001,0.55,0.673,"9,854.26",42.33,113,1.090401,0.023,87.0849276,30.62295847,10943.4,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2019-45,,,,,,,
Schooner gas field,54.075801,2.075275,10,0.11,110,42,93700,100,0.423,0.237,852952.0548,0.203424658,0.77,0.66,"8,778.22",44.64,110,1.158913,0.0277,595.7104626,28.35696414,8861.97,,,,,,,,
Trent gas field,54.289849,1.698028,3,0.11,111.667,36.3,-,0.3,0.423,0.237,428649.3151,2.162557078,0.7,0.65,"2,605.15",37.92,112,0.98,0.023,56.486925,-,3200,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.2003.020.01.70,,,,,,,
