case_id,chunk_id,pool_row_index,name,InitialTemperature,PressureGWC,ReferencePorosity,ReferencePermeability,CushionGasType,InjectionRateDev,InjectionRateOp,ProductionRate,InjectionDurationDev,InjectionDurationOp,ExtractionDurationOp,TEnd,MaxTimeStepSize,CGRatio,CycleLengthDays,FlowRateSm3Day,FlowRateMolM2S,PermeabilityMd,Porosity,PressureMPa,TemperatureC,reservoir_stratum,reservoir_cluster,representative_id,source_row_index,source_field_name
13,2,13,case013_CGCO2_Q15750_CL172.3_CGR1.01_K15_Poro0.140,348.15999999999997,18700000.0,0.14,15.0,CO2,-0.5947657909982639,-0.5947657909982639,0.5947657909982639,86.97728853897067,86.17255967647581,86.17255967647581,1810.428482068487,71100.46402305331,1.0093385744315373,172.34511935295163,15750.16990395932,0.5947657909982639,15.0,0.14,18.7,75.01,1,8,8,19,Bunter Closure 49
14,2,14,case014_CGN2_Q1416716_CL334.6_CGR3.61_K100_Poro0.290,308.51275,7300000.0,0.29,100.0,N2,-53.498721467323115,-53.498721467323115,53.498721467323115,603.8333723246328,167.2973593088749,167.2973593088749,3949.7805585021306,155118.65466117457,3.6093419215888383,334.5947186177498,1416715.5635173284,53.498721467323115,100.0,0.29,7.3,35.36275,2,26,26,3,Bunter Closure 1
15,2,15,case015_CGH2_Q148452_CL118.3_CGR3.05_K15_Poro0.140,348.15999999999997,18700000.0,0.14,15.0,H2,-5.60592827397539,-5.60592827397539,5.60592827397539,180.19234219757664,59.16299508896041,59.16299508896041,1363.4522439767848,53546.488127088276,3.045693375168558,118.32599017792081,148452.25485535624,5.60592827397539,15.0,0.14,18.7,75.01,1,8,8,19,Bunter Closure 49
16,2,16,case016_CGCO2_Q75949_CL105.2_CGR0.06_K0.5_Poro0.130,442.11,82300000.0,0.13,0.5,CO2,-2.8680283797743344,-2.8680283797743344,2.8680283797743344,3.2810896996092347,52.58094687825313,52.58094687825313,1054.900027264672,41428.801070758025,0.062400734380199135,105.16189375650626,75949.11300296152,2.8680283797743344,0.5,0.13,82.3,168.96,0,20,20,108,Judy_029_02
17,2,17,case017_CGCO2_Q13238_CL38.7_CGR1.41_K5_Poro0.150,309.15,8100000.0,0.15,5.0,CO2,-0.49990767775280553,-0.49990767775280553,0.49990767775280553,27.310491012299913,19.35978954349675,19.35978954349675,414.5062818822349,16278.792161193223,1.4106811931472636,38.7195790869935,13238.203978889254,0.49990767775280553,5.0,0.15,8.1,36.0,0,25,25,88,Hopeman_012_24
18,3,18,case018_CGCH4_Q176201_CL209.3_CGR3.41_K17.5_Poro0.170,414.30999999999995,59400000.0,0.17,17.5,CH4,-6.653775024551165,-6.653775024551165,6.653775024551165,357.11713488799194,104.6549641101113,104.6549641101113,2450.216417090218,96226.6811075431,3.412328673795693,209.3099282202226,176200.59647934232,6.653775024551165,17.5,0.17,59.4,141.16,1,12,12,73,Fulmar_023_27
19,3,19,case019_CGH2_Q940623_CL155.0_CGR2.02_K30_Poro0.170,414.49,80800000.0,0.17,30.0,H2,-35.520276354519055,-35.520276354519055,35.520276354519055,156.1728829922876,77.50193125365719,77.50193125365719,1706.2115080654314,67007.5792258424,2.0150837594117124,155.00386250731438,940623.0083950759,35.520276354519055,30.0,0.17,80.8,141.34,1,23,23,100,Joanne_030_06
20,3,20,case020_CGH2_Q19833_CL130.2_CGR0.93_K0.5_Poro0.130,380.75,35400000.0,0.13,0.5,H2,-0.7489491295223889,-0.7489491295223889,0.7489491295223889,60.639826054897384,65.10064523164377,65.10064523164377,1362.6527306877726,53515.089059737984,0.9314781111481505,130.20129046328753,19833.144773846776,0.7489491295223889,0.5,0.13,35.4,107.6,0,4,4,107,Judy_028_05
21,3,21,case021_CGH2_Q738090_CL347.7_CGR2.21_K15_Poro0.070,345.73105,18000000.0,0.07,15.0,H2,-27.87210737506787,-27.87210737506787,27.87210737506787,384.4887894717188,173.85321386967976,173.85321386967976,3861.553066865314,151653.72044416505,2.211571364794736,347.7064277393595,738089.5696807115,27.87210737506787,15.0,0.07,18.0,72.58105,1,15,15,7,Bunter Closure 14
22,3,22,case022_CGN2_Q28767_CL239.1_CGR2.92_K43_Poro0.120,398.74,56440000.0,0.12,43.0,N2,-1.086321346377172,-1.086321346377172,1.086321346377172,349.09831775962044,119.56431351558003,119.56431351558003,2740.384588071221,107622.37654970614,2.9197534573234565,239.12862703116005,28767.198844810904,1.086321346377172,43.0,0.12,56.44,125.59,2,35,35,144,Statfjord_003_14
23,3,23,case023_CGCO2_Q16107_CL162.7_CGR1.36_K5.03_Poro0.130,426.63,73800000.0,0.13,5.03,CO2,-0.6082257818821483,-0.6082257818821483,0.6082257818821483,110.35205894951044,81.33668077984034,81.33668077984034,1737.085674546317,68220.091945819,1.356731770850203,162.67336155968067,16106.607928027759,0.6082257818821483,5.03,0.13,73.8,153.48,0,3,3,138,Skagerrak_022_15
24,4,24,case024_CGN2_Q498872_CL96.7_CGR0.46_K30_Poro0.170,414.49,80800000.0,0.17,30.0,N2,-18.838656914918232,-18.838656914918232,18.838656914918232,22.0186196636656,48.33588724046127,48.33588724046127,988.736364472891,38830.37358657172,0.4555335780664875,96.67177448092254,498872.0798389468,18.838656914918232,30.0,0.17,80.8,141.34,1,23,23,100,Joanne_030_06
25,4,25,case025_CGN2_Q48576_CL230.7_CGR2.23_K0.5_Poro0.130,461.03999999999996,97200000.0,0.13,0.5,N2,-1.8343446697840633,-1.8343446697840633,1.8343446697840633,257.7864767843384,115.35594859102387,115.35594859102387,2564.905448604816,100730.83216338912,2.234704667882185,230.71189718204775,48575.827071408494,1.8343446697840633,0.5,0.13,97.2,187.89,0,7,7,109,Judy_029_03
26,4,26,case026_CGH2_Q42953_CL138.4_CGR2.34_K500_Poro0.230,372.79999999999995,32500000.0,0.23,500.0,H2,-1.622015799950811,-1.622015799950811,1.622015799950811,161.8437053203863,69.20285172860365,69.20285172860365,1545.9007398924593,60711.73814850386,2.338685491677381,138.4057034572073,42953.08308376857,1.622015799950811,500.0,0.23,32.5,99.65,4,27,27,84,Fulmar_030_17
27,4,27,case027_CGN2_Q280226_CL97.0_CGR1.63_K400_Poro0.150,406.04999999999995,76000000.0,0.15,400.0,N2,-10.582026554598169,-10.582026554598169,10.582026554598169,79.05994791792742,48.48327884498222,48.48327884498222,1048.725524817572,41186.311520108284,1.6306642166407384,96.96655768996445,280225.7942296768,10.582026554598169,400.0,0.15,76.0,132.9,4,32,32,50,Darwin_009_14
28,4,28,case028_CGH2_Q45403_CL221.0_CGR1.78_K330_Poro0.140,374.92999999999995,46200000.0,0.14,330.0,H2,-1.714515641095548,-1.714515641095548,1.714515641095548,196.5172504067897,110.51339320086774,110.51339320086774,2406.7851144241445,94521.01540283913,1.7782211251952282,221.02678640173548,45402.59890355638,1.714515641095548,330.0,0.14,46.2,101.78,3,13,13,127,Nansen_003_02
29,4,29,case029_CGCH4_Q951115_CL150.8_CGR1.92_K5.03_Poro0.130,396.16999999999996,46500000.0,0.13,5.03,CH4,-35.91646701845588,-35.91646701845588,35.91646701845588,145.04663918576213,75.3883936055592,75.3883936055592,1652.8145112969462,64910.533534570975,1.9239916417991731,150.7767872111184,951114.6512666238,35.91646701845588,5.03,0.13,46.5,123.02,0,17,17,137,Skagerrak_022_08b
